locus	transcript	exp	obs
20:62038123	ENST00000359125	8.4433e-02	0
20:62038124	ENST00000359125	1.7539e-01	0
20:62038125	ENST00000359125	8.9518e-02	0
20:62038127	ENST00000359125	1.0008e-01	0
20:62038128	ENST00000359125	1.8311e-01	1
20:62038129	ENST00000359125	3.4178e-02	0
20:62038130	ENST00000359125	8.2913e-02	0
20:62038131	ENST00000359125	8.0945e-02	1
20:62038133	ENST00000359125	2.0526e-01	1
20:62038134	ENST00000359125	1.6638e-01	0
20:62038135	ENST00000359125	2.5863e-02	0
20:62038136	ENST00000359125	2.0472e-01	0
20:62038137	ENST00000359125	9.3797e-02	0
20:62038139	ENST00000359125	1.7539e-01	0
20:62038140	ENST00000359125	2.0526e-01	0
20:62038142	ENST00000359125	1.8998e+00	0
20:62038143	ENST00000359125	2.0526e-01	0
20:62038145	ENST00000359125	1.1669e-01	0
20:62038146	ENST00000359125	2.1451e+00	2
20:62038148	ENST00000359125	2.0526e-01	0
20:62038149	ENST00000359125	2.0526e-01	0
20:62038151	ENST00000359125	1.8998e+00	2
20:62038152	ENST00000359125	1.8998e+00	2
20:62038154	ENST00000359125	1.1689e-01	0
20:62038155	ENST00000359125	1.0270e-01	0
20:62038156	ENST00000359125	3.2242e-02	0
20:62038157	ENST00000359125	1.6638e-01	0
20:62038158	ENST00000359125	1.1220e-01	0
20:62038159	ENST00000359125	6.0236e-02	0
20:62038160	ENST00000359125	1.6922e-01	0
20:62038161	ENST00000359125	1.1220e-01	0
20:62038162	ENST00000359125	7.4322e-02	0
20:62038163	ENST00000359125	1.1183e-01	0
20:62038164	ENST00000359125	9.3797e-02	0
20:62038166	ENST00000359125	7.7118e-02	0
20:62038167	ENST00000359125	1.6520e-01	0
20:62038169	ENST00000359125	1.6922e-01	0
20:62038170	ENST00000359125	1.6638e-01	0
20:62038171	ENST00000359125	6.0847e-02	0
20:62038172	ENST00000359125	1.3100e-01	0
20:62038173	ENST00000359125	1.7923e-01	0
20:62038175	ENST00000359125	1.1220e-01	0
20:62038176	ENST00000359125	6.1470e-02	0
20:62038177	ENST00000359125	1.1427e-01	0
20:62038178	ENST00000359125	1.1183e-01	1
20:62038179	ENST00000359125	7.2337e-02	0
20:62038180	ENST00000359125	8.7414e-02	0
20:62038181	ENST00000359125	7.7118e-02	0
20:62038182	ENST00000359125	1.4286e-01	0
20:62038183	ENST00000359125	6.1470e-02	0
20:62038184	ENST00000359125	8.9152e-02	0
20:62038185	ENST00000359125	8.0945e-02	0
20:62038187	ENST00000359125	1.7923e-01	0
20:62038188	ENST00000359125	1.0008e-01	1
20:62038189	ENST00000359125	7.1783e-02	0
20:62038190	ENST00000359125	1.1220e-01	1
20:62038191	ENST00000359125	5.4877e-02	0
20:62038193	ENST00000359125	1.7923e-01	0
20:62038194	ENST00000359125	7.7118e-02	0
20:62038195	ENST00000359125	5.0257e-02	0
20:62038196	ENST00000359125	1.3100e-01	0
20:62038197	ENST00000359125	2.1860e-01	0
20:62038198	ENST00000359125	7.0054e-02	0
20:62038199	ENST00000359125	1.6922e-01	0
20:62038200	ENST00000359125	1.1220e-01	0
20:62038201	ENST00000359125	6.2280e-02	0
20:62038202	ENST00000359125	7.2337e-02	0
20:62038203	ENST00000359125	8.9152e-02	0
20:62038205	ENST00000359125	2.0526e-01	0
20:62038206	ENST00000359125	1.8942e+00	1
20:62038207	ENST00000359125	1.7939e-01	0
20:62038208	ENST00000359125	1.6922e-01	0
20:62038209	ENST00000359125	1.1220e-01	0
20:62038210	ENST00000359125	6.2280e-02	0
20:62038211	ENST00000359125	7.2337e-02	0
20:62038212	ENST00000359125	8.9152e-02	0
20:62038214	ENST00000359125	1.7923e-01	0
20:62038215	ENST00000359125	7.2337e-02	0
20:62038217	ENST00000359125	2.1451e+00	1
20:62038218	ENST00000359125	1.8998e+00	1
20:62038219	ENST00000359125	6.0236e-02	0
20:62038220	ENST00000359125	7.7118e-02	0
20:62038221	ENST00000359125	1.4286e-01	0
20:62038223	ENST00000359125	1.1220e-01	0
20:62038224	ENST00000359125	6.0236e-02	0
20:62038225	ENST00000359125	6.0236e-02	0
20:62038226	ENST00000359125	7.7118e-02	0
20:62038227	ENST00000359125	1.4286e-01	0
20:62038228	ENST00000359125	6.1470e-02	0
20:62038229	ENST00000359125	7.7118e-02	0
20:62038230	ENST00000359125	1.4771e+00	0
20:62038231	ENST00000359125	1.6273e-01	0
20:62038232	ENST00000359125	1.1669e-01	0
20:62038233	ENST00000359125	1.4896e-01	0
20:62038234	ENST00000359125	1.1427e-01	0
20:62038235	ENST00000359125	1.0008e-01	0
20:62038236	ENST00000359125	1.7923e-01	0
20:62038238	ENST00000359125	1.1669e-01	0
20:62038239	ENST00000359125	2.1451e+00	2
20:62038241	ENST00000359125	1.7923e-01	0
20:62038242	ENST00000359125	1.0008e-01	0
20:62038244	ENST00000359125	1.4765e-01	0
20:62038245	ENST00000359125	2.0715e-01	0
20:62038246	ENST00000359125	3.5594e-02	0
20:62038247	ENST00000359125	1.3100e-01	0
20:62038248	ENST00000359125	2.1860e-01	0
20:62038250	ENST00000359125	1.7923e-01	0
20:62038251	ENST00000359125	5.9583e-02	0
20:62038252	ENST00000359125	5.0257e-02	0
20:62038253	ENST00000359125	1.3100e-01	0
20:62038254	ENST00000359125	2.1860e-01	0
20:62038256	ENST00000359125	1.7923e-01	0
20:62038257	ENST00000359125	1.0008e-01	0
20:62038259	ENST00000359125	2.1451e+00	0
20:62038260	ENST00000359125	1.1669e-01	0
20:62038261	ENST00000359125	3.3174e-02	0
20:62038262	ENST00000359125	1.0008e-01	0
20:62038263	ENST00000359125	1.5492e+00	0
20:62038264	ENST00000359125	1.7939e-01	0
20:62038265	ENST00000359125	1.6922e-01	0
20:62038266	ENST00000359125	1.1220e-01	0
20:62038267	ENST00000359125	3.3174e-02	0
20:62038268	ENST00000359125	1.0008e-01	0
20:62038269	ENST00000359125	1.7923e-01	0
20:62038271	ENST00000359125	1.8942e+00	1
20:62038272	ENST00000359125	1.7759e+00	1
20:62038274	ENST00000359125	1.1220e-01	0
20:62038275	ENST00000359125	6.1470e-02	0
20:62038276	ENST00000359125	1.1427e-01	0
20:62038277	ENST00000359125	9.2367e-02	0
20:62038278	ENST00000359125	5.5403e-02	0
20:62038280	ENST00000359125	2.0715e-01	2
20:62038281	ENST00000359125	2.0715e-01	0
20:62038282	ENST00000359125	6.1470e-02	0
20:62038283	ENST00000359125	6.1251e-02	0
20:62038284	ENST00000359125	1.4771e+00	1
20:62038286	ENST00000359125	2.0715e-01	2
20:62038287	ENST00000359125	2.0715e-01	1
20:62038289	ENST00000359125	2.0715e-01	1
20:62038290	ENST00000359125	2.0526e-01	0
20:62038291	ENST00000359125	8.4433e-02	0
20:62038292	ENST00000359125	1.7539e-01	0
20:62038293	ENST00000359125	8.9518e-02	0
20:62038294	ENST00000359125	2.3331e-02	0
20:62038295	ENST00000359125	1.6638e-01	1
20:62038296	ENST00000359125	1.1220e-01	0
20:62038298	ENST00000359125	2.0526e-01	0
20:62038299	ENST00000359125	2.0715e-01	1
20:62038301	ENST00000359125	1.8942e+00	1
20:62038302	ENST00000359125	2.0715e-01	0
20:62038304	ENST00000359125	2.5150e-01	1
20:62038305	ENST00000359125	1.1434e-01	0
20:62038306	ENST00000359125	7.1956e-02	0
20:62038307	ENST00000359125	9.6288e-02	0
20:62038308	ENST00000359125	1.7353e-01	0
20:62038309	ENST00000359125	5.9514e-02	0
20:62038310	ENST00000359125	3.1925e-02	0
20:62038311	ENST00000359125	1.3654e-01	0
20:62038312	ENST00000359125	5.8753e-02	0
20:62038313	ENST00000359125	1.0651e-01	0
20:62038314	ENST00000359125	6.6036e-02	0
20:62038316	ENST00000359125	1.7725e+00	1
20:62038317	ENST00000359125	5.1574e-02	0
20:62038319	ENST00000359125	1.0336e-01	0
20:62038320	ENST00000359125	5.6628e-02	0
20:62038321	ENST00000359125	6.5745e-02	1
20:62038322	ENST00000359125	6.5511e-02	0
20:62038323	ENST00000359125	1.0128e-01	0
20:62038324	ENST00000359125	6.5009e-02	0
20:62038325	ENST00000359125	6.8541e-02	0
20:62038326	ENST00000359125	1.2820e-01	0
20:62038327	ENST00000359125	1.3239e-01	0
20:62038328	ENST00000359125	1.9429e-01	0
20:62038329	ENST00000359125	1.9429e-01	0
20:62038330	ENST00000359125	6.1636e-02	0
20:62038331	ENST00000359125	1.4730e-01	0
20:62038332	ENST00000359125	9.6568e-02	0
20:62038334	ENST00000359125	1.7234e-01	0
20:62038335	ENST00000359125	1.5735e+00	2
20:62038337	ENST00000359125	1.5264e+00	1
20:62038338	ENST00000359125	1.1863e-01	0
20:62038339	ENST00000359125	9.0263e-02	1
20:62038340	ENST00000359125	8.9854e-02	0
20:62038341	ENST00000359125	7.2728e-02	0
20:62038343	ENST00000359125	7.0893e-02	0
20:62038344	ENST00000359125	1.7617e-01	0
20:62038346	ENST00000359125	1.7393e-01	0
20:62038347	ENST00000359125	1.5905e+00	0
20:62038349	ENST00000359125	1.7234e-01	0
20:62038350	ENST00000359125	1.5905e+00	1
20:62038352	ENST00000359125	2.5183e-02	0
20:62038353	ENST00000359125	8.5058e-02	0
20:62038355	ENST00000359125	1.6754e-01	0
20:62038356	ENST00000359125	1.5507e+00	1
20:62038358	ENST00000359125	1.4401e-01	0
20:62038359	ENST00000359125	7.9055e-02	0
20:62038361	ENST00000359125	8.8624e-02	0
20:62038362	ENST00000359125	4.7580e-02	0
20:62038364	ENST00000359125	1.1453e+00	1
20:62038365	ENST00000359125	7.7603e-02	0
20:62038367	ENST00000359125	1.1218e-01	0
20:62038368	ENST00000359125	1.3493e+00	0
20:62038369	ENST00000359125	4.6706e-02	0
20:62038370	ENST00000359125	5.9795e-02	0
20:62038371	ENST00000359125	1.1223e+00	0
20:62038372	ENST00000359125	1.2364e-01	1
20:62038373	ENST00000359125	3.4658e-02	0
20:62038374	ENST00000359125	1.1318e-01	0
20:62038376	ENST00000359125	1.5595e-01	1
20:62038377	ENST00000359125	1.2641e-01	0
20:62038379	ENST00000359125	1.3031e-01	0
20:62038380	ENST00000359125	1.5250e-01	0
20:62038382	ENST00000359125	1.4073e+00	0
20:62038383	ENST00000359125	6.2729e-02	0
20:62038385	ENST00000359125	1.0970e-01	0
20:62038386	ENST00000359125	1.4874e-01	0
20:62038388	ENST00000359125	1.0699e-01	0
20:62038389	ENST00000359125	1.5011e-01	0
20:62038390	ENST00000359125	2.5793e-02	0
20:62038391	ENST00000359125	9.4927e-02	0
20:62038392	ENST00000359125	1.5841e-01	0
20:62038394	ENST00000359125	1.3767e+00	1
20:62038395	ENST00000359125	1.3767e+00	0
20:62038397	ENST00000359125	8.6691e-02	0
20:62038398	ENST00000359125	1.8856e-01	1
20:62038400	ENST00000359125	8.3356e-02	0
20:62038401	ENST00000359125	4.5669e-02	0
20:62038403	ENST00000359125	1.3316e-01	0
20:62038404	ENST00000359125	5.7294e-02	0
20:62038406	ENST00000359125	1.1348e-01	0
20:62038407	ENST00000359125	1.4073e+00	1
20:62038408	ENST00000359125	5.1377e-02	0
20:62038409	ENST00000359125	8.6691e-02	0
20:62038410	ENST00000359125	1.1067e-01	0
20:62038411	ENST00000359125	8.4898e-02	0
20:62038412	ENST00000359125	7.4356e-02	1
20:62038413	ENST00000359125	5.3466e-02	0
20:62038415	ENST00000359125	6.6260e-02	0
20:62038416	ENST00000359125	1.2331e-01	0
20:62038418	ENST00000359125	8.8657e-02	0
20:62038419	ENST00000359125	7.1095e-02	0
20:62038421	ENST00000359125	1.6062e-01	0
20:62038422	ENST00000359125	1.6062e-01	2
20:62038424	ENST00000359125	1.3897e-01	0
20:62038425	ENST00000359125	5.9795e-02	0
20:62038427	ENST00000359125	1.9679e-01	0
20:62038428	ENST00000359125	9.0476e-02	0
20:62038430	ENST00000359125	1.6214e-01	0
20:62038431	ENST00000359125	1.1663e-01	0
20:62038432	ENST00000359125	1.3075e-01	0
20:62038433	ENST00000359125	9.3755e-02	0
20:62038434	ENST00000359125	1.1969e-01	0
20:62038436	ENST00000359125	1.6754e-01	0
20:62038437	ENST00000359125	1.6908e-01	1
20:62038438	ENST00000359125	5.0174e-02	0
20:62038439	ENST00000359125	9.1579e-02	0
20:62038440	ENST00000359125	4.5452e-02	0
20:62038442	ENST00000359125	1.5735e+00	2
20:62038443	ENST00000359125	1.5951e+00	1
20:62038445	ENST00000359125	1.2397e-01	0
20:62038446	ENST00000359125	1.7617e-01	0
20:62038447	ENST00000359125	9.7181e-02	0
20:62038448	ENST00000359125	9.9233e-02	0
20:62038449	ENST00000359125	1.2668e-01	0
20:62038450	ENST00000359125	7.2671e-02	0
20:62038451	ENST00000359125	1.4564e-01	0
20:62038452	ENST00000359125	6.7129e-02	0
20:62038453	ENST00000359125	7.6092e-02	0
20:62038454	ENST00000359125	9.7666e-02	0
20:62038455	ENST00000359125	6.4695e-02	0
20:62038457	ENST00000359125	1.3106e-01	0
20:62038458	ENST00000359125	1.8060e-01	0
20:62038459	ENST00000359125	5.2998e-02	0
20:62038460	ENST00000359125	9.8715e-02	0
20:62038461	ENST00000359125	6.1636e-02	0
20:62038462	ENST00000359125	7.4287e-02	0
20:62038463	ENST00000359125	4.8774e-02	0
20:62038464	ENST00000359125	9.9720e-02	0
20:62038466	ENST00000359125	1.5930e-01	0
20:62038467	ENST00000359125	6.8541e-02	0
20:62038469	ENST00000359125	2.2775e-01	0
20:62038470	ENST00000359125	1.0471e-01	0
20:62038472	ENST00000359125	1.6084e-01	0
20:62038473	ENST00000359125	6.9204e-02	0
20:62038475	ENST00000359125	1.8925e-01	0
20:62038476	ENST00000359125	1.8752e-01	0
20:62038478	ENST00000359125	1.3602e-01	0
20:62038479	ENST00000359125	1.6511e-01	0
20:62038480	ENST00000359125	1.3636e-02	0
20:62038481	ENST00000359125	1.9011e-01	0
20:62038482	ENST00000359125	1.0919e-01	0
20:62038483	ENST00000359125	6.7170e-02	0
20:62038484	ENST00000359125	1.0499e-01	0
20:62038485	ENST00000359125	5.2096e-02	0
20:62038487	ENST00000359125	9.5659e-02	0
20:62038488	ENST00000359125	1.9567e-01	0
20:62038490	ENST00000359125	1.6874e-01	0
20:62038491	ENST00000359125	1.9929e-01	0
20:62038493	ENST00000359125	8.3901e-02	0
20:62038494	ENST00000359125	1.9748e-01	1
20:62038496	ENST00000359125	1.7965e+00	1
20:62038497	ENST00000359125	1.8506e+00	1
20:62038499	ENST00000359125	1.4967e-01	0
20:62038500	ENST00000359125	2.0113e-01	0
20:62038502	ENST00000359125	1.8667e+00	1
20:62038503	ENST00000359125	2.0414e-01	1
20:62038505	ENST00000359125	8.5942e-02	0
20:62038506	ENST00000359125	8.3668e-02	0
20:62038508	ENST00000359125	1.8998e+00	1
20:62038509	ENST00000359125	2.0526e-01	0
20:62038511	ENST00000359125	1.4771e+00	1
20:62038512	ENST00000359125	7.7118e-02	0
20:62038513	ENST00000359125	8.7414e-02	0
20:62038514	ENST00000359125	7.2337e-02	0
20:62038515	ENST00000359125	8.9152e-02	0
20:62038516	ENST00000359125	7.1783e-02	0
20:62038517	ENST00000359125	1.1183e-01	0
20:62038518	ENST00000359125	7.2337e-02	0
20:62038519	ENST00000359125	8.7414e-02	0
20:62038520	ENST00000359125	8.9152e-02	0
20:62038521	ENST00000359125	5.9162e-02	1
20:62038522	ENST00000359125	8.7414e-02	0
20:62038523	ENST00000359125	1.1220e-01	0
20:62038524	ENST00000359125	5.4877e-02	0
20:62038526	ENST00000359125	2.0526e-01	1
20:62038527	ENST00000359125	2.0715e-01	0
20:62038529	ENST00000359125	2.1451e+00	1
20:62038530	ENST00000359125	1.1669e-01	0
20:62038532	ENST00000359125	7.1965e-02	0
20:62038533	ENST00000359125	3.3402e-02	0
20:62038534	ENST00000359125	6.0236e-02	0
20:62038535	ENST00000359125	1.6922e-01	1
20:62038536	ENST00000359125	1.1220e-01	0
20:62038537	ENST00000359125	7.0054e-02	0
20:62038538	ENST00000359125	6.0236e-02	0
20:62038539	ENST00000359125	3.8955e-02	0
20:62038541	ENST00000359125	1.7923e-01	0
20:62038542	ENST00000359125	7.7118e-02	0
20:62038544	ENST00000359125	1.8998e+00	2
20:62038545	ENST00000359125	1.7939e-01	0
20:62038547	ENST00000359125	1.1669e-01	0
20:62038548	ENST00000359125	2.0516e+00	1
20:62038549	ENST00000359125	7.7252e-02	1
20:62038550	ENST00000359125	1.3100e-01	0
20:62038551	ENST00000359125	1.1569e-01	0
20:62038552	ENST00000359125	8.7414e-02	0
20:62038553	ENST00000359125	8.9152e-02	0
20:62038554	ENST00000359125	8.0945e-02	0
20:62038556	ENST00000359125	1.0008e-01	0
20:62038557	ENST00000359125	2.0472e-01	0
20:62038558	ENST00000359125	2.7444e-02	0
20:62038559	ENST00000359125	1.4745e-01	0
20:62038560	ENST00000359125	2.1860e-01	1
20:62038561	ENST00000359125	2.3331e-02	0
20:62038562	ENST00000359125	1.6638e-01	0
20:62038563	ENST00000359125	1.1220e-01	0
20:62038565	ENST00000359125	2.0526e-01	0
20:62038566	ENST00000359125	1.8942e+00	1
20:62038567	ENST00000359125	1.6273e-01	1
20:62038568	ENST00000359125	1.1669e-01	0
20:62038569	ENST00000359125	1.6638e-01	0
20:62038570	ENST00000359125	3.1912e-02	0
20:62038571	ENST00000359125	1.7539e-01	0
20:62038572	ENST00000359125	8.9518e-02	0
20:62038573	ENST00000359125	7.4322e-02	0
20:62038574	ENST00000359125	1.0008e-01	0
20:62038575	ENST00000359125	1.4931e-01	0
20:62038577	ENST00000359125	1.0008e-01	0
20:62038578	ENST00000359125	2.0472e-01	0
20:62038579	ENST00000359125	6.0847e-02	0
20:62038580	ENST00000359125	2.1860e-01	1
20:62038581	ENST00000359125	1.6638e-01	0
20:62038582	ENST00000359125	6.0236e-02	0
20:62038583	ENST00000359125	7.7118e-02	0
20:62038584	ENST00000359125	1.4286e-01	0
20:62038586	ENST00000359125	1.8942e+00	1
20:62038587	ENST00000359125	1.8216e+00	1
20:62038588	ENST00000359125	8.4433e-02	0
20:62038589	ENST00000359125	1.6922e-01	0
20:62038590	ENST00000359125	1.1220e-01	0
20:62038591	ENST00000359125	7.4322e-02	1
20:62038592	ENST00000359125	1.0008e-01	1
20:62038593	ENST00000359125	1.6520e-01	1
20:62038594	ENST00000359125	3.4178e-02	0
20:62038595	ENST00000359125	7.2337e-02	0
20:62038596	ENST00000359125	1.4286e-01	0
20:62038598	ENST00000359125	1.8942e+00	1
20:62038599	ENST00000359125	2.0715e-01	0
20:62038600	ENST00000359125	8.4433e-02	0
20:62038601	ENST00000359125	1.6922e-01	0
20:62038602	ENST00000359125	1.1220e-01	0
20:62038603	ENST00000359125	7.4322e-02	0
20:62038604	ENST00000359125	1.1669e-01	0
20:62038605	ENST00000359125	1.4896e-01	0
20:62038607	ENST00000359125	1.1689e-01	0
20:62038608	ENST00000359125	1.1689e-01	0
20:62038610	ENST00000359125	1.8942e+00	1
20:62038611	ENST00000359125	2.0526e-01	0
20:62038613	ENST00000359125	1.8942e+00	1
20:62038614	ENST00000359125	2.0526e-01	0
20:62038616	ENST00000359125	1.7939e-01	0
20:62038617	ENST00000359125	2.0526e-01	0
20:62038619	ENST00000359125	1.8942e+00	1
20:62038620	ENST00000359125	2.0526e-01	0
20:62038621	ENST00000359125	6.0236e-02	0
20:62038622	ENST00000359125	7.7118e-02	0
20:62038623	ENST00000359125	1.4286e-01	0
20:62038625	ENST00000359125	1.8942e+00	1
20:62038626	ENST00000359125	8.4433e-02	0
20:62038627	ENST00000359125	6.0236e-02	0
20:62038628	ENST00000359125	7.7118e-02	1
20:62038629	ENST00000359125	1.2805e-01	0
20:62038630	ENST00000359125	3.4178e-02	0
20:62038631	ENST00000359125	8.2913e-02	0
20:62038632	ENST00000359125	8.0945e-02	0
20:62038634	ENST00000359125	2.0526e-01	0
20:62038635	ENST00000359125	2.0526e-01	0
20:62038637	ENST00000359125	2.0715e-01	0
20:62038638	ENST00000359125	1.4896e-01	0
20:62038639	ENST00000359125	4.0297e-02	0
20:62038640	ENST00000359125	8.2913e-02	1
20:62038641	ENST00000359125	8.9152e-02	0
20:62038643	ENST00000359125	1.1689e-01	1
20:62038644	ENST00000359125	1.0270e-01	1
20:62038646	ENST00000359125	2.0526e-01	0
20:62038647	ENST00000359125	2.0526e-01	1
20:62038648	ENST00000359125	6.1470e-02	0
20:62038649	ENST00000359125	7.7118e-02	0
20:62038650	ENST00000359125	1.4771e+00	1
20:62038652	ENST00000359125	2.5380e-01	0
20:62038653	ENST00000359125	1.0008e-01	0
20:62038654	ENST00000359125	8.7414e-02	0
20:62038655	ENST00000359125	7.7118e-02	0
20:62038656	ENST00000359125	1.2805e-01	0
20:62038658	ENST00000359125	2.0472e-01	0
20:62038659	ENST00000359125	1.0008e-01	1
20:62038661	ENST00000359125	1.8942e+00	3
20:62038662	ENST00000359125	2.0715e-01	0
20:62038664	ENST00000359125	2.0715e-01	1
20:62038665	ENST00000359125	2.0715e-01	0
20:62038666	ENST00000359125	3.5594e-02	0
20:62038667	ENST00000359125	1.3100e-01	0
20:62038668	ENST00000359125	2.1860e-01	0
20:62038670	ENST00000359125	2.0526e-01	2
20:62038671	ENST00000359125	2.0715e-01	0
20:62038672	ENST00000359125	1.4896e-01	0
20:62038673	ENST00000359125	2.1860e-01	0
20:62038674	ENST00000359125	1.3100e-01	1
20:62038676	ENST00000359125	1.8942e+00	1
20:62038677	ENST00000359125	1.7759e+00	1
20:62038678	ENST00000359125	6.0236e-02	0
20:62038679	ENST00000359125	1.1220e-01	1
20:62038680	ENST00000359125	7.0054e-02	0
20:62038681	ENST00000359125	1.6638e-01	1
20:62038682	ENST00000359125	2.1860e-01	1
20:62038683	ENST00000359125	2.1860e-01	1
20:62038685	ENST00000359125	1.1689e-01	0
20:62038686	ENST00000359125	1.0270e-01	0
20:62038687	ENST00000359125	5.0257e-02	0
20:62038688	ENST00000359125	1.3100e-01	0
20:62038689	ENST00000359125	1.9943e-01	1
20:62038690	ENST00000359125	4.2781e-02	0
20:62038691	ENST00000359125	1.4745e-01	0
20:62038692	ENST00000359125	7.2337e-02	0
20:62038694	ENST00000359125	1.1669e-01	0
20:62038695	ENST00000359125	2.5380e-01	1
20:62038697	ENST00000359125	1.1220e-01	0
20:62038698	ENST00000359125	6.1470e-02	0
20:62038699	ENST00000359125	7.1965e-02	0
20:62038700	ENST00000359125	7.2337e-02	0
20:62038701	ENST00000359125	8.9152e-02	0
20:62038702	ENST00000359125	7.1783e-02	0
20:62038703	ENST00000359125	1.0008e-01	0
20:62038704	ENST00000359125	1.7923e-01	0
20:62038706	ENST00000359125	1.1220e-01	0
20:62038707	ENST00000359125	6.0236e-02	0
20:62038708	ENST00000359125	6.0236e-02	0
20:62038709	ENST00000359125	8.9152e-02	0
20:62038710	ENST00000359125	5.9162e-02	0
20:62038711	ENST00000359125	8.7414e-02	0
20:62038712	ENST00000359125	8.9152e-02	0
20:62038713	ENST00000359125	5.9162e-02	0
20:62038714	ENST00000359125	8.7414e-02	0
20:62038715	ENST00000359125	7.7118e-02	0
20:62038716	ENST00000359125	1.4286e-01	0
20:62038717	ENST00000359125	1.4896e-01	0
