locus	transcript	exp	obs
4:153244146	ENST00000281708	2.6361e-01	0
4:153244148	ENST00000281708	2.5802e-01	0
4:153244149	ENST00000281708	2.3724e-01	0
4:153244151	ENST00000281708	2.9822e-01	0
4:153244152	ENST00000281708	2.1445e-01	0
4:153244153	ENST00000281708	6.5670e-02	0
4:153244154	ENST00000281708	2.6361e-01	0
4:153244155	ENST00000281708	1.1102e-01	0
4:153244157	ENST00000281708	2.9822e-01	0
4:153244158	ENST00000281708	2.9822e-01	0
4:153244160	ENST00000281708	2.9822e-01	0
4:153244161	ENST00000281708	2.1445e-01	0
4:153244162	ENST00000281708	6.5670e-02	0
4:153244163	ENST00000281708	2.6361e-01	1
4:153244164	ENST00000281708	1.1102e-01	0
4:153244165	ENST00000281708	1.2584e-01	0
4:153244166	ENST00000281708	1.1102e-01	0
4:153244167	ENST00000281708	2.0566e-01	0
4:153244168	ENST00000281708	7.9002e-02	0
4:153244169	ENST00000281708	1.1653e-01	0
4:153244170	ENST00000281708	5.6078e-02	0
4:153244172	ENST00000281708	2.9473e-01	0
4:153244173	ENST00000281708	1.6799e-01	1
4:153244175	ENST00000281708	1.4408e-01	0
4:153244176	ENST00000281708	2.6361e-01	0
4:153244178	ENST00000281708	1.4784e-01	0
4:153244179	ENST00000281708	8.8495e-02	0
4:153244180	ENST00000281708	1.6451e-01	0
4:153244181	ENST00000281708	1.6100e-01	0
4:153244182	ENST00000281708	1.1936e-01	0
4:153244184	ENST00000281708	2.2303e+00	1
4:153244185	ENST00000281708	1.1121e-01	0
4:153244186	ENST00000281708	2.4379e-02	0
4:153244187	ENST00000281708	2.1227e-01	0
4:153244188	ENST00000281708	2.8711e-01	0
4:153244189	ENST00000281708	6.3830e-02	0
4:153244190	ENST00000281708	1.1936e-01	1
4:153244191	ENST00000281708	2.1227e-01	0
4:153244192	ENST00000281708	5.6078e-02	0
4:153244193	ENST00000281708	1.0414e-01	0
4:153244194	ENST00000281708	1.5994e-01	0
4:153244196	ENST00000281708	3.6537e-01	0
4:153244197	ENST00000281708	2.9822e-01	0
4:153244199	ENST00000281708	2.3427e-01	1
4:153244200	ENST00000281708	1.6100e-01	0
4:153244201	ENST00000281708	5.8357e-02	0
4:153244202	ENST00000281708	1.1936e-01	0
4:153244203	ENST00000281708	8.5172e-02	1
4:153244204	ENST00000281708	8.9660e-02	0
4:153244205	ENST00000281708	1.1653e-01	0
4:153244206	ENST00000281708	4.9204e-02	0
4:153244207	ENST00000281708	1.0334e-01	0
4:153244208	ENST00000281708	1.4408e-01	0
4:153244209	ENST00000281708	2.5802e-01	0
4:153244210	ENST00000281708	1.2555e-01	0
4:153244211	ENST00000281708	7.9002e-02	0
4:153244212	ENST00000281708	3.1471e-01	0
4:153244214	ENST00000281708	1.4784e-01	0
4:153244215	ENST00000281708	1.0334e-01	0
4:153244216	ENST00000281708	5.5335e-02	0
4:153244217	ENST00000281708	1.1936e-01	0
4:153244218	ENST00000281708	9.7873e-02	0
4:153244220	ENST00000281708	1.6828e-01	0
4:153244221	ENST00000281708	2.9473e-01	0
4:153244223	ENST00000281708	2.6361e-01	0
4:153244224	ENST00000281708	1.6100e-01	0
4:153244226	ENST00000281708	2.5802e-01	0
4:153244227	ENST00000281708	1.7122e-01	0
4:153244228	ENST00000281708	8.7597e-02	0
4:153244229	ENST00000281708	1.8859e-01	0
4:153244230	ENST00000281708	2.0647e-01	0
4:153244231	ENST00000281708	8.7597e-02	0
4:153244232	ENST00000281708	1.8859e-01	0
4:153244233	ENST00000281708	2.3783e-01	0
4:153244235	ENST00000281708	1.1681e-01	0
4:153244236	ENST00000281708	1.1102e-01	0
4:153244237	ENST00000281708	8.6718e-02	0
4:153244238	ENST00000281708	2.4361e-01	0
4:153244239	ENST00000281708	1.6152e-01	0
4:153244241	ENST00000281708	3.6537e-01	0
4:153244242	ENST00000281708	1.6828e-01	0
4:153244243	ENST00000281708	2.7226e-02	0
4:153244244	ENST00000281708	2.1227e-01	0
4:153244245	ENST00000281708	2.1227e-01	0
4:153244247	ENST00000281708	1.6828e-01	0
4:153244248	ENST00000281708	2.9473e-01	0
4:153244249	ENST00000281708	5.8012e-02	0
4:153244250	ENST00000281708	1.1936e-01	0
4:153244251	ENST00000281708	1.2835e-01	0
4:153244252	ENST00000281708	1.0334e-01	0
4:153244253	ENST00000281708	1.6100e-01	0
4:153244254	ENST00000281708	1.0414e-01	0
4:153244255	ENST00000281708	1.2584e-01	0
4:153244256	ENST00000281708	1.2835e-01	0
4:153244257	ENST00000281708	1.1653e-01	0
4:153244258	ENST00000281708	1.0700e-01	0
4:153244259	ENST00000281708	1.6100e-01	1
4:153244260	ENST00000281708	1.3503e-01	0
4:153244261	ENST00000281708	8.9660e-02	0
4:153244262	ENST00000281708	1.0414e-01	0
4:153244263	ENST00000281708	1.6100e-01	0
4:153244264	ENST00000281708	1.0334e-01	0
4:153244265	ENST00000281708	1.6152e-01	0
4:153244266	ENST00000281708	1.0700e-01	0
4:153244267	ENST00000281708	4.3771e-02	0
4:153244268	ENST00000281708	8.3273e-02	0
4:153244269	ENST00000281708	5.8357e-02	0
4:153244270	ENST00000281708	2.8021e-02	0
4:153244271	ENST00000281708	2.9473e-01	0
4:153244272	ENST00000281708	1.6152e-01	0
4:153244274	ENST00000281708	3.6537e-01	0
4:153244275	ENST00000281708	1.4408e-01	0
4:153244277	ENST00000281708	1.6799e-01	0
4:153244278	ENST00000281708	2.9473e-01	0
4:153244280	ENST00000281708	2.4361e-01	0
4:153244281	ENST00000281708	2.3952e-01	0
4:153244282	ENST00000281708	6.5670e-02	0
4:153244283	ENST00000281708	2.6361e-01	0
4:153244284	ENST00000281708	1.1102e-01	0
4:153244285	ENST00000281708	1.2584e-01	0
4:153244286	ENST00000281708	1.6152e-01	0
4:153244287	ENST00000281708	8.9660e-02	0
4:153244288	ENST00000281708	8.0944e-02	0
4:153244289	ENST00000281708	3.1471e-01	0
4:153244290	ENST00000281708	2.3952e-01	0
4:153244291	ENST00000281708	8.6718e-02	0
4:153244292	ENST00000281708	1.2835e-01	0
4:153244293	ENST00000281708	1.1653e-01	0
4:153244294	ENST00000281708	1.0700e-01	0
4:153244295	ENST00000281708	1.6100e-01	0
4:153244296	ENST00000281708	1.3503e-01	0
4:153244298	ENST00000281708	2.9822e-01	0
4:153244299	ENST00000281708	2.5802e-01	1
4:153244301	ENST00000281708	3.6537e-01	0
4:153245336	ENST00000281708	2.5250e-01	0
4:153245337	ENST00000281708	4.9204e-02	0
4:153245338	ENST00000281708	1.3503e-01	0
4:153245339	ENST00000281708	1.0085e-01	0
4:153245340	ENST00000281708	1.0085e-01	0
4:153245341	ENST00000281708	1.1653e-01	0
4:153245342	ENST00000281708	5.6078e-02	0
4:153245344	ENST00000281708	2.9473e-01	0
4:153245345	ENST00000281708	1.6100e-01	0
4:153245346	ENST00000281708	5.8357e-02	0
4:153245347	ENST00000281708	1.3503e-01	0
4:153245348	ENST00000281708	1.0700e-01	0
4:153245349	ENST00000281708	4.3771e-02	0
4:153245350	ENST00000281708	8.3273e-02	0
4:153245351	ENST00000281708	5.8357e-02	0
4:153245352	ENST00000281708	2.8021e-02	0
4:153245353	ENST00000281708	2.9473e-01	0
4:153245354	ENST00000281708	1.6799e-01	0
4:153245355	ENST00000281708	1.0334e-01	0
4:153245356	ENST00000281708	1.6152e-01	0
4:153245357	ENST00000281708	1.0700e-01	0
4:153245359	ENST00000281708	2.5802e-01	0
4:153245360	ENST00000281708	2.1807e-01	0
4:153245362	ENST00000281708	2.9473e-01	0
4:153245363	ENST00000281708	1.6100e-01	0
4:153245364	ENST00000281708	5.8357e-02	0
4:153245365	ENST00000281708	1.1936e-01	0
4:153245366	ENST00000281708	1.1653e-01	0
4:153245367	ENST00000281708	4.3132e-02	0
4:153245368	ENST00000281708	1.8859e-01	0
4:153245369	ENST00000281708	2.8711e-01	0
4:153245370	ENST00000281708	6.1589e-02	0
4:153245371	ENST00000281708	1.8859e-01	0
4:153245372	ENST00000281708	2.5802e-01	0
4:153245373	ENST00000281708	1.2555e-01	0
4:153245374	ENST00000281708	7.9002e-02	0
4:153245375	ENST00000281708	1.6152e-01	0
4:153245376	ENST00000281708	7.2351e-02	0
4:153245377	ENST00000281708	1.8859e-01	0
4:153245378	ENST00000281708	2.1227e-01	0
4:153245379	ENST00000281708	5.8357e-02	0
4:153245380	ENST00000281708	1.1936e-01	0
4:153245381	ENST00000281708	1.1050e-01	0
4:153245383	ENST00000281708	1.6100e-01	0
4:153245384	ENST00000281708	2.6361e-01	0
4:153245386	ENST00000281708	2.9473e-01	0
4:153245387	ENST00000281708	1.6828e-01	0
4:153245389	ENST00000281708	2.3783e-01	0
4:153245390	ENST00000281708	1.0414e-01	0
4:153245391	ENST00000281708	5.6078e-02	0
4:153245392	ENST00000281708	1.8859e-01	0
4:153245393	ENST00000281708	2.3783e-01	0
4:153245395	ENST00000281708	2.3952e-01	1
4:153245396	ENST00000281708	2.3952e-01	0
4:153245397	ENST00000281708	8.7597e-02	0
4:153245398	ENST00000281708	2.1227e-01	0
4:153245399	ENST00000281708	1.0414e-01	0
4:153245401	ENST00000281708	2.9822e-01	0
4:153245402	ENST00000281708	2.1445e-01	0
4:153245404	ENST00000281708	2.3783e-01	0
4:153245405	ENST00000281708	1.1102e-01	0
4:153245407	ENST00000281708	1.4408e-01	0
4:153245408	ENST00000281708	2.9473e-01	0
4:153245410	ENST00000281708	1.2835e-01	0
4:153245411	ENST00000281708	2.3783e-01	0
4:153245412	ENST00000281708	2.4379e-02	0
4:153245413	ENST00000281708	2.1227e-01	0
4:153245414	ENST00000281708	2.8711e-01	0
4:153245415	ENST00000281708	6.1589e-02	0
4:153245416	ENST00000281708	2.1227e-01	0
4:153245417	ENST00000281708	1.3503e-01	0
4:153245418	ENST00000281708	1.0700e-01	0
4:153245419	ENST00000281708	1.4408e-01	0
4:153245420	ENST00000281708	2.3783e-01	0
4:153245421	ENST00000281708	4.9204e-02	0
4:153245422	ENST00000281708	1.1936e-01	1
4:153245423	ENST00000281708	1.1653e-01	1
4:153245425	ENST00000281708	1.1102e-01	0
4:153245426	ENST00000281708	2.6361e-01	0
4:153245427	ENST00000281708	5.5335e-02	1
4:153245428	ENST00000281708	1.0414e-01	0
4:153245429	ENST00000281708	5.1243e-02	0
4:153245430	ENST00000281708	2.1445e-01	1
4:153245431	ENST00000281708	3.1471e-01	0
4:153245432	ENST00000281708	2.1227e-01	0
4:153245434	ENST00000281708	2.5802e-01	0
4:153245435	ENST00000281708	1.7122e-01	0
4:153245436	ENST00000281708	6.5670e-02	0
4:153245437	ENST00000281708	2.6361e-01	0
4:153245438	ENST00000281708	1.2835e-01	0
4:153245440	ENST00000281708	2.9473e-01	0
4:153245441	ENST00000281708	1.6100e-01	0
4:153245442	ENST00000281708	6.3830e-02	0
4:153245443	ENST00000281708	8.3273e-02	0
4:153245444	ENST00000281708	5.5335e-02	0
4:153245446	ENST00000281708	2.1265e+00	0
4:153245447	ENST00000281708	1.4408e-01	0
4:153245448	ENST00000281708	1.0334e-01	0
4:153245449	ENST00000281708	1.6152e-01	0
4:153245450	ENST00000281708	7.9002e-02	0
4:153245451	ENST00000281708	1.6451e-01	0
4:153245452	ENST00000281708	1.6799e-01	0
4:153245453	ENST00000281708	2.3952e-01	0
4:153245455	ENST00000281708	2.9822e-01	0
4:153245456	ENST00000281708	2.5250e-01	0
4:153245458	ENST00000281708	2.9473e-01	0
4:153245459	ENST00000281708	1.6100e-01	0
4:153245460	ENST00000281708	6.3830e-02	0
4:153245461	ENST00000281708	8.3273e-02	0
4:153245462	ENST00000281708	5.5335e-02	0
4:153245464	ENST00000281708	3.0882e+00	1
4:153245465	ENST00000281708	1.6799e-01	0
4:153245466	ENST00000281708	1.0700e-01	0
4:153245467	ENST00000281708	1.6799e-01	0
4:153245468	ENST00000281708	2.0647e-01	0
4:153245469	ENST00000281708	2.4379e-02	0
4:153245470	ENST00000281708	2.1227e-01	0
4:153245471	ENST00000281708	3.1471e-01	0
4:153245472	ENST00000281708	3.3589e-02	0
4:153245473	ENST00000281708	2.3952e-01	0
4:153245474	ENST00000281708	1.3503e-01	0
4:153245475	ENST00000281708	5.6078e-02	0
4:153245476	ENST00000281708	2.1227e-01	0
4:153245477	ENST00000281708	1.0414e-01	0
4:153245479	ENST00000281708	2.9822e-01	0
4:153245480	ENST00000281708	2.5250e-01	0
4:153245482	ENST00000281708	2.9473e-01	0
4:153245483	ENST00000281708	1.4408e-01	0
4:153245484	ENST00000281708	1.2584e-01	0
4:153245485	ENST00000281708	1.1102e-01	0
4:153245486	ENST00000281708	2.0566e-01	0
4:153245488	ENST00000281708	1.6799e-01	0
4:153245489	ENST00000281708	2.9473e-01	0
4:153245490	ENST00000281708	8.7597e-02	0
4:153245491	ENST00000281708	1.8859e-01	0
4:153245492	ENST00000281708	2.5802e-01	0
4:153245493	ENST00000281708	1.2555e-01	0
4:153245494	ENST00000281708	7.9002e-02	0
4:153245495	ENST00000281708	1.3503e-01	0
4:153245497	ENST00000281708	1.6100e-01	0
4:153245498	ENST00000281708	2.9473e-01	0
4:153245500	ENST00000281708	2.3427e-01	0
4:153245501	ENST00000281708	2.7270e+00	0
4:153245502	ENST00000281708	5.1243e-02	0
4:153245503	ENST00000281708	1.8859e-01	0
4:153245504	ENST00000281708	2.1227e-01	0
4:153245506	ENST00000281708	1.1681e-01	0
4:153245507	ENST00000281708	1.8859e-01	0
4:153245509	ENST00000281708	2.9473e-01	0
4:153245510	ENST00000281708	1.6828e-01	0
4:153245511	ENST00000281708	6.1589e-02	0
4:153245512	ENST00000281708	1.8859e-01	0
4:153245513	ENST00000281708	2.0647e-01	0
4:153245515	ENST00000281708	1.2835e-01	0
4:153245516	ENST00000281708	2.3783e-01	0
4:153245518	ENST00000281708	2.3783e-01	0
4:153245519	ENST00000281708	1.8859e-01	0
4:153245521	ENST00000281708	2.5802e-01	0
4:153245522	ENST00000281708	1.7122e-01	0
4:153245523	ENST00000281708	6.5670e-02	0
4:153245524	ENST00000281708	2.6361e-01	0
4:153245525	ENST00000281708	1.1102e-01	0
4:153245527	ENST00000281708	1.6799e-01	0
4:153245528	ENST00000281708	3.6537e-01	0
4:153245530	ENST00000281708	1.6799e-01	0
4:153245531	ENST00000281708	2.9473e-01	0
4:153245532	ENST00000281708	8.7597e-02	0
4:153245533	ENST00000281708	3.1471e-01	0
4:153245534	ENST00000281708	2.1445e-01	0
4:153245535	ENST00000281708	5.0779e-02	0
4:153245536	ENST00000281708	1.8585e-01	0
4:153245537	ENST00000281708	2.8133e-01	0
4:153245539	ENST00000281708	3.5802e-01	0
4:153245540	ENST00000281708	2.0890e-01	0
4:153245541	ENST00000281708	8.5328e-02	0
4:153245542	ENST00000281708	1.8371e-01	0
4:153245543	ENST00000281708	2.0112e-01	0
4:153245544	ENST00000281708	5.6166e-02	0
4:153245545	ENST00000281708	1.1557e-01	0
4:153245546	ENST00000281708	1.5587e-01	0
4:153247158	ENST00000281708	8.8495e-02	0
4:153247159	ENST00000281708	1.6152e-01	0
4:153247160	ENST00000281708	1.0700e-01	0
4:153247161	ENST00000281708	4.3771e-02	0
4:153247162	ENST00000281708	8.3273e-02	0
4:153247163	ENST00000281708	5.6078e-02	0
4:153247165	ENST00000281708	1.1681e-01	0
4:153247166	ENST00000281708	1.0414e-01	0
4:153247168	ENST00000281708	2.8711e-01	0
4:153247169	ENST00000281708	1.4784e-01	0
4:153247171	ENST00000281708	1.4408e-01	0
4:153247172	ENST00000281708	2.6361e-01	0
4:153247173	ENST00000281708	4.8086e-02	0
4:153247174	ENST00000281708	2.3783e-01	0
4:153247175	ENST00000281708	1.0430e-01	0
4:153247176	ENST00000281708	6.1589e-02	0
4:153247177	ENST00000281708	2.1227e-01	1
4:153247178	ENST00000281708	1.4710e-01	0
4:153247180	ENST00000281708	2.6361e-01	0
4:153247181	ENST00000281708	1.6828e-01	1
4:153247182	ENST00000281708	6.1589e-02	0
4:153247183	ENST00000281708	3.1471e-01	0
4:153247184	ENST00000281708	2.3952e-01	0
4:153247186	ENST00000281708	2.9822e-01	0
4:153247187	ENST00000281708	2.9822e-01	0
4:153247188	ENST00000281708	8.8495e-02	0
4:153247189	ENST00000281708	1.6152e-01	0
4:153247190	ENST00000281708	1.0085e-01	0
4:153247191	ENST00000281708	1.0085e-01	0
4:153247192	ENST00000281708	1.1653e-01	0
4:153247193	ENST00000281708	5.5335e-02	0
4:153247195	ENST00000281708	3.0882e+00	0
4:153247196	ENST00000281708	1.6799e-01	0
4:153247197	ENST00000281708	1.0700e-01	0
4:153247198	ENST00000281708	1.6799e-01	0
4:153247199	ENST00000281708	2.9473e-01	0
4:153247201	ENST00000281708	1.4784e-01	0
4:153247202	ENST00000281708	1.2584e-01	0
4:153247203	ENST00000281708	2.1139e-02	0
4:153247204	ENST00000281708	2.9473e-01	0
4:153247205	ENST00000281708	1.6152e-01	0
4:153247207	ENST00000281708	3.6537e-01	1
4:153247208	ENST00000281708	1.6100e-01	0
4:153247209	ENST00000281708	5.8357e-02	0
4:153247210	ENST00000281708	1.0414e-01	0
4:153247211	ENST00000281708	1.5994e-01	0
4:153247213	ENST00000281708	2.6361e-01	0
4:153247214	ENST00000281708	1.4408e-01	0
4:153247215	ENST00000281708	1.2584e-01	0
4:153247216	ENST00000281708	1.1102e-01	0
4:153247217	ENST00000281708	1.8434e-01	0
4:153247219	ENST00000281708	2.1445e-01	0
4:153247220	ENST00000281708	2.5802e-01	0
4:153247221	ENST00000281708	8.0944e-02	0
4:153247222	ENST00000281708	1.8859e-01	0
4:153247223	ENST00000281708	2.5802e-01	0
4:153247224	ENST00000281708	1.2555e-01	0
4:153247225	ENST00000281708	7.9002e-02	0
4:153247226	ENST00000281708	1.6799e-01	0
4:153247228	ENST00000281708	1.6799e-01	0
4:153247229	ENST00000281708	3.6537e-01	0
4:153247230	ENST00000281708	8.8495e-02	0
4:153247231	ENST00000281708	1.2835e-01	0
4:153247232	ENST00000281708	9.7873e-02	0
4:153247234	ENST00000281708	1.6828e-01	0
4:153247235	ENST00000281708	3.6537e-01	0
4:153247236	ENST00000281708	2.1445e-01	0
4:153247237	ENST00000281708	3.1471e-01	0
4:153247238	ENST00000281708	2.8711e-01	0
4:153247239	ENST00000281708	6.3830e-02	0
4:153247240	ENST00000281708	1.1936e-01	0
4:153247241	ENST00000281708	1.1936e-01	0
4:153247242	ENST00000281708	5.6078e-02	0
4:153247243	ENST00000281708	1.8859e-01	0
4:153247244	ENST00000281708	2.0647e-01	0
4:153247246	ENST00000281708	2.8711e-01	0
4:153247247	ENST00000281708	2.8711e-01	0
4:153247249	ENST00000281708	2.3952e-01	0
4:153247250	ENST00000281708	2.4361e-01	0
4:153247252	ENST00000281708	2.5802e-01	0
4:153247253	ENST00000281708	1.7122e-01	0
4:153247254	ENST00000281708	6.5670e-02	0
4:153247255	ENST00000281708	2.6361e-01	0
4:153247256	ENST00000281708	1.4784e-01	0
4:153247258	ENST00000281708	1.6100e-01	0
4:153247259	ENST00000281708	2.9473e-01	1
4:153247261	ENST00000281708	1.6100e-01	0
4:153247262	ENST00000281708	3.6537e-01	0
4:153247263	ENST00000281708	1.2555e-01	0
4:153247264	ENST00000281708	2.5250e-01	0
4:153247265	ENST00000281708	8.5778e-02	0
4:153247266	ENST00000281708	1.0360e-01	0
4:153247267	ENST00000281708	2.5250e-01	0
4:153247268	ENST00000281708	1.2887e-01	0
4:153247270	ENST00000281708	2.9550e-01	0
4:153247271	ENST00000281708	2.1445e-01	0
4:153247272	ENST00000281708	8.7597e-02	0
4:153247273	ENST00000281708	1.8859e-01	0
4:153247274	ENST00000281708	2.0647e-01	0
4:153247276	ENST00000281708	2.8711e-01	1
4:153247277	ENST00000281708	2.8711e-01	0
4:153247278	ENST00000281708	5.6078e-02	0
4:153247279	ENST00000281708	1.3503e-01	0
4:153247280	ENST00000281708	8.9660e-02	0
4:153247282	ENST00000281708	1.6100e-01	0
4:153247283	ENST00000281708	2.9473e-01	0
4:153247284	ENST00000281708	3.7233e-02	0
4:153247285	ENST00000281708	2.9473e-01	0
4:153247286	ENST00000281708	1.6152e-01	0
4:153247288	ENST00000281708	2.7350e+00	0
4:153247289	ENST00000281708	2.1256e-01	0
4:153247291	ENST00000281708	1.4408e-01	0
4:153247292	ENST00000281708	2.6361e-01	0
4:153247294	ENST00000281708	2.3952e-01	0
4:153247295	ENST00000281708	2.4361e-01	0
4:153247297	ENST00000281708	2.3952e-01	0
4:153247298	ENST00000281708	2.3952e-01	0
4:153247300	ENST00000281708	1.6100e-01	0
4:153247301	ENST00000281708	2.9473e-01	0
4:153247302	ENST00000281708	8.7597e-02	0
4:153247303	ENST00000281708	3.1471e-01	0
4:153247304	ENST00000281708	2.0647e-01	0
4:153247306	ENST00000281708	3.6537e-01	0
4:153247307	ENST00000281708	2.9822e-01	0
4:153247308	ENST00000281708	2.1445e-01	0
4:153247309	ENST00000281708	3.1471e-01	0
4:153247310	ENST00000281708	1.8859e-01	0
4:153247311	ENST00000281708	8.9660e-02	0
4:153247312	ENST00000281708	1.1653e-01	0
4:153247313	ENST00000281708	5.8357e-02	0
4:153247315	ENST00000281708	1.6100e-01	0
4:153247316	ENST00000281708	2.9473e-01	0
4:153247317	ENST00000281708	8.7597e-02	0
4:153247318	ENST00000281708	3.1471e-01	1
4:153247319	ENST00000281708	2.9473e-01	0
4:153247320	ENST00000281708	4.3771e-02	0
4:153247321	ENST00000281708	8.3273e-02	0
4:153247322	ENST00000281708	5.8357e-02	0
4:153247323	ENST00000281708	2.8021e-02	0
4:153247324	ENST00000281708	2.9473e-01	0
4:153247325	ENST00000281708	1.6799e-01	0
4:153247326	ENST00000281708	1.0334e-01	0
4:153247327	ENST00000281708	1.6152e-01	0
4:153247328	ENST00000281708	7.9002e-02	0
4:153247330	ENST00000281708	2.9550e-01	0
4:153247331	ENST00000281708	2.5250e-01	0
4:153247333	ENST00000281708	2.9473e-01	0
4:153247334	ENST00000281708	1.4408e-01	0
4:153247335	ENST00000281708	1.2584e-01	0
4:153247336	ENST00000281708	1.1102e-01	0
4:153247337	ENST00000281708	1.5994e-01	0
4:153247338	ENST00000281708	3.9509e-02	0
4:153247339	ENST00000281708	2.1227e-01	1
4:153247340	ENST00000281708	2.8711e-01	0
4:153247341	ENST00000281708	6.1589e-02	0
4:153247342	ENST00000281708	1.8859e-01	1
4:153247343	ENST00000281708	2.5802e-01	0
4:153247344	ENST00000281708	1.2555e-01	0
4:153247345	ENST00000281708	7.9002e-02	0
4:153247346	ENST00000281708	1.3503e-01	0
4:153247348	ENST00000281708	1.6100e-01	0
4:153247349	ENST00000281708	3.6537e-01	1
4:153247350	ENST00000281708	1.2555e-01	0
4:153247351	ENST00000281708	2.5250e-01	0
4:153247352	ENST00000281708	1.2609e-01	0
4:153247354	ENST00000281708	1.2835e-01	0
4:153247355	ENST00000281708	2.3783e-01	0
4:153247357	ENST00000281708	2.6361e-01	0
4:153247358	ENST00000281708	1.6799e-01	0
4:153247360	ENST00000281708	2.9550e-01	0
4:153247361	ENST00000281708	2.3952e-01	0
4:153247362	ENST00000281708	8.7597e-02	0
4:153247363	ENST00000281708	1.8859e-01	0
4:153247364	ENST00000281708	2.3783e-01	0
4:153247366	ENST00000281708	2.2303e+00	0
4:153247367	ENST00000281708	1.1121e-01	1
4:153247369	ENST00000281708	2.3783e-01	0
4:153247370	ENST00000281708	1.0414e-01	0
