locus	transcript	obs	exp
1:229567371	ENST00000366684	1	1.2290e+00
1:229567372	ENST00000366684	0	6.3748e-02
1:229567373	ENST00000366684	0	8.1613e-02
1:229567374	ENST00000366684	0	1.5119e-01
1:229567376	ENST00000366684	0	1.3762e+00
1:229567377	ENST00000366684	0	2.1723e-01
1:229567379	ENST00000366684	0	1.3762e+00
1:229567380	ENST00000366684	0	2.1922e-01
1:229567382	ENST00000366684	0	2.1723e-01
1:229567383	ENST00000366684	0	1.2290e+00
1:229567384	ENST00000366684	0	8.1755e-02
1:229567385	ENST00000366684	0	1.3864e-01
1:229567386	ENST00000366684	0	2.3135e-01
1:229567387	ENST00000366684	0	3.1707e-02
1:229567388	ENST00000366684	0	1.3864e-01
1:229567389	ENST00000366684	0	1.3864e-01
1:229567468	ENST00000366684	0	6.5053e-02
1:229567469	ENST00000366684	0	9.4349e-02
1:229567470	ENST00000366684	0	8.5663e-02
1:229567471	ENST00000366684	0	3.1707e-02
1:229567472	ENST00000366684	0	1.3864e-01
1:229567473	ENST00000366684	0	1.3864e-01
1:229567474	ENST00000366684	0	9.2509e-02
1:229567475	ENST00000366684	0	9.4349e-02
1:229567476	ENST00000366684	0	6.2611e-02
1:229567477	ENST00000366684	0	1.5178e-01
1:229567478	ENST00000366684	0	2.3135e-01
1:229567479	ENST00000366684	0	2.3135e-01
1:229567481	ENST00000366684	0	2.6859e-01
1:229567482	ENST00000366684	0	1.2349e-01
1:229567483	ENST00000366684	0	7.4138e-02
1:229567484	ENST00000366684	0	1.7908e-01
1:229567485	ENST00000366684	0	1.1874e-01
1:229567487	ENST00000366684	0	2.1922e-01
1:229567488	ENST00000366684	0	2.6859e-01
1:229567490	ENST00000366684	0	1.7608e-01
1:229567491	ENST00000366684	0	2.1723e-01
1:229567493	ENST00000366684	0	1.1874e-01
1:229567494	ENST00000366684	0	6.3748e-02
1:229567496	ENST00000366684	0	1.2290e+00
1:229567497	ENST00000366684	0	1.2290e+00
1:229567499	ENST00000366684	0	2.6859e-01
1:229567500	ENST00000366684	0	1.2349e-01
1:229567501	ENST00000366684	0	3.1707e-02
1:229567502	ENST00000366684	0	1.3864e-01
1:229567503	ENST00000366684	0	1.3864e-01
1:229567504	ENST00000366684	0	9.2509e-02
1:229567505	ENST00000366684	0	8.1613e-02
1:229567506	ENST00000366684	0	1.3551e-01
1:229567507	ENST00000366684	0	3.6170e-02
1:229567508	ENST00000366684	0	8.7746e-02
1:229567509	ENST00000366684	0	6.2611e-02
1:229567510	ENST00000366684	0	9.2509e-02
1:229567511	ENST00000366684	0	1.1874e-01
1:229567512	ENST00000366684	0	7.4138e-02
1:229567513	ENST00000366684	0	1.7608e-01
1:229567514	ENST00000366684	0	2.3135e-01
1:229567515	ENST00000366684	0	2.3135e-01
1:229567517	ENST00000366684	0	1.2290e+00
1:229567518	ENST00000366684	1	1.3762e+00
1:229567519	ENST00000366684	0	1.2093e-01
1:229567520	ENST00000366684	0	1.0592e-01
1:229567521	ENST00000366684	0	1.5178e-01
1:229567523	ENST00000366684	0	1.7908e-01
1:229567524	ENST00000366684	0	1.2290e+00
1:229567525	ENST00000366684	0	8.1755e-02
1:229567526	ENST00000366684	0	1.3864e-01
1:229567527	ENST00000366684	0	1.3864e-01
1:229567529	ENST00000366684	0	2.1922e-01
1:229567530	ENST00000366684	0	1.5764e-01
1:229567532	ENST00000366684	0	1.8562e-01
1:229567533	ENST00000366684	0	2.1922e-01
1:229567535	ENST00000366684	0	1.2370e-01
1:229567536	ENST00000366684	0	1.2370e-01
1:229567537	ENST00000366684	0	2.1666e-01
1:229567538	ENST00000366684	0	2.3135e-01
1:229567539	ENST00000366684	0	1.3864e-01
1:229567541	ENST00000366684	1	1.7640e+00
1:229567542	ENST00000366684	0	1.2349e-01
1:229567544	ENST00000366684	0	2.6859e-01
1:229567545	ENST00000366684	0	1.2349e-01
1:229567547	ENST00000366684	0	2.1723e-01
1:229567548	ENST00000366684	0	2.1922e-01
1:229567550	ENST00000366684	0	2.1922e-01
1:229567551	ENST00000366684	0	2.1922e-01
1:229567553	ENST00000366684	0	1.1536e+00
1:229567554	ENST00000366684	0	1.0592e-01
1:229567555	ENST00000366684	0	2.1666e-01
1:229567556	ENST00000366684	0	2.3135e-01
1:229567557	ENST00000366684	0	2.3135e-01
1:229567559	ENST00000366684	0	1.0592e-01
1:229567560	ENST00000366684	0	1.7640e+00
1:229567561	ENST00000366684	0	1.7221e-01
1:229567562	ENST00000366684	0	1.1835e-01
1:229567563	ENST00000366684	0	9.9265e-02
1:229567564	ENST00000366684	0	7.8654e-02
1:229567565	ENST00000366684	0	1.1835e-01
1:229567566	ENST00000366684	0	9.9265e-02
1:229567568	ENST00000366684	0	2.1723e-01
1:229567569	ENST00000366684	0	1.7608e-01
1:229567571	ENST00000366684	1	2.1106e-01
1:229567572	ENST00000366684	0	1.2370e-01
1:229567574	ENST00000366684	0	1.1874e-01
1:229567575	ENST00000366684	0	6.5053e-02
1:229567576	ENST00000366684	0	1.2093e-01
1:229567577	ENST00000366684	0	1.0592e-01
1:229567578	ENST00000366684	0	1.8968e-01
1:229567579	ENST00000366684	0	6.5053e-02
1:229567580	ENST00000366684	0	9.4349e-02
1:229567581	ENST00000366684	0	6.2611e-02
1:229567582	ENST00000366684	0	7.6160e-02
1:229567583	ENST00000366684	0	1.8562e-01
1:229567584	ENST00000366684	0	9.4736e-02
1:229567585	ENST00000366684	0	3.1707e-02
1:229567586	ENST00000366684	0	1.3864e-01
1:229567587	ENST00000366684	0	2.3135e-01
1:229567588	ENST00000366684	0	7.8654e-02
1:229567589	ENST00000366684	0	1.0592e-01
1:229567590	ENST00000366684	0	1.2299e+00
1:229567591	ENST00000366684	0	8.1755e-02
1:229567592	ENST00000366684	0	1.3864e-01
1:229567593	ENST00000366684	0	2.3135e-01
1:229567594	ENST00000366684	0	7.8654e-02
1:229567595	ENST00000366684	0	1.0592e-01
1:229567596	ENST00000366684	0	1.5178e-01
1:229567597	ENST00000366684	0	2.7370e-02
1:229567598	ENST00000366684	0	2.1666e-01
1:229567599	ENST00000366684	0	1.2349e-01
1:229567600	ENST00000366684	0	7.5968e-02
1:229567601	ENST00000366684	0	9.4349e-02
1:229567602	ENST00000366684	0	6.2611e-02
1:229567603	ENST00000366684	0	1.5178e-01
1:229567604	ENST00000366684	0	2.3135e-01
1:229567605	ENST00000366684	0	2.3135e-01
1:229567606	ENST00000366684	0	3.1707e-02
1:229567607	ENST00000366684	0	1.3864e-01
1:229567608	ENST00000366684	0	2.3135e-01
1:229567609	ENST00000366684	0	7.4138e-02
1:229567610	ENST00000366684	0	1.7908e-01
1:229567611	ENST00000366684	0	1.1874e-01
1:229567612	ENST00000366684	0	7.8654e-02
1:229567613	ENST00000366684	0	1.1835e-01
1:229567614	ENST00000366684	0	9.9265e-02
1:229567616	ENST00000366684	0	1.2370e-01
1:229567617	ENST00000366684	0	1.0868e-01
1:229567619	ENST00000366684	0	2.6859e-01
1:229567620	ENST00000366684	0	1.2349e-01
1:229567622	ENST00000366684	1	2.6859e-01
1:229567623	ENST00000366684	0	1.0592e-01
1:229567624	ENST00000366684	0	9.2509e-02
1:229567625	ENST00000366684	0	8.1613e-02
1:229567626	ENST00000366684	0	1.1536e+00
1:229567627	ENST00000366684	0	1.7221e-01
1:229567628	ENST00000366684	0	1.2349e-01
1:229567629	ENST00000366684	0	1.5178e-01
1:229567630	ENST00000366684	0	1.7921e-02
1:229567631	ENST00000366684	1	1.5604e-01
1:229567632	ENST00000366684	1	2.3135e-01
1:229567634	ENST00000366684	0	2.1723e-01
1:229567635	ENST00000366684	0	2.1922e-01
1:229567637	ENST00000366684	0	1.2290e+00
1:229567638	ENST00000366684	0	2.1723e-01
1:229567640	ENST00000366684	0	1.1536e+00
1:229567641	ENST00000366684	0	1.0592e-01
1:229567642	ENST00000366684	0	7.5968e-02
1:229567643	ENST00000366684	0	8.1613e-02
1:229567644	ENST00000366684	0	1.5119e-01
1:229567645	ENST00000366684	0	1.5764e-01
1:229567646	ENST00000366684	0	2.3135e-01
1:229567647	ENST00000366684	0	2.1106e-01
1:229567649	ENST00000366684	0	2.6859e-01
1:229567741	ENST00000366684	0	1.3064e+00
1:229567742	ENST00000366684	0	7.7611e-02
1:229567743	ENST00000366684	0	1.3161e-01
1:229567744	ENST00000366684	1	2.1962e-01
1:229567745	ENST00000366684	0	6.2570e-02
1:229567746	ENST00000366684	0	7.3170e-02
1:229567747	ENST00000366684	0	9.0178e-02
1:229567749	ENST00000366684	0	1.8129e-01
1:229567750	ENST00000366684	0	7.8005e-02
1:229567752	ENST00000366684	0	2.1225e-01
1:229567753	ENST00000366684	0	2.1031e-01
1:229567754	ENST00000366684	0	6.1719e-02
1:229567755	ENST00000366684	0	1.1496e-01
1:229567756	ENST00000366684	0	5.6227e-02
1:229567757	ENST00000366684	0	7.3737e-02
1:229567758	ENST00000366684	0	7.4118e-02
1:229567759	ENST00000366684	0	9.1906e-02
1:229567761	ENST00000366684	0	7.9016e-02
1:229567762	ENST00000366684	0	1.7444e-01
1:229567764	ENST00000366684	0	1.7183e+00
1:229567765	ENST00000366684	0	1.0379e-01
1:229567766	ENST00000366684	0	9.1166e-02
1:229567767	ENST00000366684	0	8.0428e-02
1:229567768	ENST00000366684	0	1.4899e-01
1:229567770	ENST00000366684	0	1.3637e+00
1:229567771	ENST00000366684	0	2.1724e-01
1:229567772	ENST00000366684	0	3.3466e-02
1:229567773	ENST00000366684	0	1.7448e-01
1:229567774	ENST00000366684	0	1.1766e-01
1:229567776	ENST00000366684	0	1.2290e+00
1:229567777	ENST00000366684	0	1.3762e+00
1:229567778	ENST00000366684	0	7.6160e-02
1:229567779	ENST00000366684	0	7.6554e-02
1:229567780	ENST00000366684	0	9.4349e-02
1:229567782	ENST00000366684	0	1.2290e+00
1:229567783	ENST00000366684	0	1.2290e+00
1:229567784	ENST00000366684	0	6.3748e-02
1:229567785	ENST00000366684	0	8.1613e-02
1:229567786	ENST00000366684	0	1.1536e+00
1:229567787	ENST00000366684	0	1.7221e-01
1:229567788	ENST00000366684	0	1.1835e-01
1:229567789	ENST00000366684	0	9.9265e-02
1:229567791	ENST00000366684	0	2.1723e-01
1:229567792	ENST00000366684	0	1.3762e+00
1:229567793	ENST00000366684	0	8.1755e-02
1:229567794	ENST00000366684	0	1.3864e-01
1:229567795	ENST00000366684	0	2.3135e-01
1:229567797	ENST00000366684	0	2.6859e-01
1:229567798	ENST00000366684	0	1.2349e-01
1:229567799	ENST00000366684	0	3.1707e-02
1:229567800	ENST00000366684	0	1.3864e-01
1:229567801	ENST00000366684	0	2.3135e-01
1:229567803	ENST00000366684	0	1.0592e-01
1:229567804	ENST00000366684	1	2.6859e-01
1:229567805	ENST00000366684	0	6.5053e-02
1:229567806	ENST00000366684	0	1.1874e-01
1:229567807	ENST00000366684	0	7.4138e-02
1:229567809	ENST00000366684	0	2.1922e-01
1:229567810	ENST00000366684	0	1.3762e+00
1:229567811	ENST00000366684	0	1.7221e-01
1:229567812	ENST00000366684	0	1.0592e-01
1:229567813	ENST00000366684	0	1.7483e-01
1:229567815	ENST00000366684	1	1.5764e-01
1:229567816	ENST00000366684	1	2.1723e-01
1:229567818	ENST00000366684	0	1.1874e-01
1:229567819	ENST00000366684	0	6.3748e-02
1:229567820	ENST00000366684	0	6.3748e-02
1:229567821	ENST00000366684	0	8.1613e-02
1:229567822	ENST00000366684	0	1.1536e+00
1:229567824	ENST00000366684	0	1.2370e-01
1:229567825	ENST00000366684	0	1.0868e-01
1:229567826	ENST00000366684	0	6.3748e-02
1:229567827	ENST00000366684	1	1.7908e-01
1:229567828	ENST00000366684	0	8.1613e-02
1:229567829	ENST00000366684	0	9.2509e-02
1:229567830	ENST00000366684	0	9.4349e-02
1:229567831	ENST00000366684	0	7.1948e-02
1:229567832	ENST00000366684	0	4.2899e-02
1:229567833	ENST00000366684	0	7.6554e-02
1:229567834	ENST00000366684	0	1.5119e-01
1:229567836	ENST00000366684	0	1.1874e-01
1:229567837	ENST00000366684	0	6.5053e-02
1:229567839	ENST00000366684	0	1.8968e-01
1:229567840	ENST00000366684	0	8.1613e-02
1:229567842	ENST00000366684	0	1.8968e-01
1:229567843	ENST00000366684	0	8.1613e-02
1:229567845	ENST00000366684	0	1.8968e-01
1:229567846	ENST00000366684	0	8.1613e-02
1:229567848	ENST00000366684	0	1.8968e-01
1:229567849	ENST00000366684	0	8.1613e-02
1:229567851	ENST00000366684	0	2.1723e-01
1:229567852	ENST00000366684	0	1.2290e+00
1:229567854	ENST00000366684	0	2.1723e-01
1:229567855	ENST00000366684	0	2.1723e-01
1:229567857	ENST00000366684	0	1.7640e+00
1:229567858	ENST00000366684	0	1.0592e-01
1:229567860	ENST00000366684	0	1.2290e+00
1:229567861	ENST00000366684	0	2.1723e-01
1:229567862	ENST00000366684	0	1.5764e-01
1:229567863	ENST00000366684	0	2.3135e-01
1:229567864	ENST00000366684	0	1.3864e-01
1:229567865	ENST00000366684	0	9.2509e-02
1:229567866	ENST00000366684	0	8.1613e-02
1:229567867	ENST00000366684	0	1.1536e+00
1:229567868	ENST00000366684	0	1.7221e-01
1:229567869	ENST00000366684	0	1.1835e-01
1:229567870	ENST00000366684	0	7.6554e-02
1:229567871	ENST00000366684	0	9.2509e-02
1:229567872	ENST00000366684	0	8.1613e-02
1:229567873	ENST00000366684	0	1.1536e+00
1:229567874	ENST00000366684	0	1.5802e-01
1:229567875	ENST00000366684	0	7.6554e-02
1:229567876	ENST00000366684	0	9.4349e-02
1:229567877	ENST00000366684	0	7.5968e-02
1:229567878	ENST00000366684	0	1.0592e-01
1:229567879	ENST00000366684	0	1.8968e-01
1:229567881	ENST00000366684	0	1.1874e-01
1:229567882	ENST00000366684	0	6.5053e-02
1:229567884	ENST00000366684	0	2.1723e-01
1:229567885	ENST00000366684	0	2.1723e-01
1:229567887	ENST00000366684	0	1.2349e-01
1:229567888	ENST00000366684	1	1.7640e+00
1:229567890	ENST00000366684	0	1.2370e-01
1:229567891	ENST00000366684	0	1.0868e-01
1:229567892	ENST00000366684	0	3.4122e-02
1:229567893	ENST00000366684	0	1.7608e-01
1:229567894	ENST00000366684	0	1.2349e-01
1:229567896	ENST00000366684	0	1.1874e-01
1:229567897	ENST00000366684	0	6.3748e-02
1:229567898	ENST00000366684	0	6.3748e-02
1:229567899	ENST00000366684	0	9.4349e-02
1:229567900	ENST00000366684	0	6.2611e-02
1:229567901	ENST00000366684	0	9.2509e-02
1:229567902	ENST00000366684	0	8.1613e-02
1:229567903	ENST00000366684	0	1.5119e-01
1:229567904	ENST00000366684	0	6.5053e-02
1:229567905	ENST00000366684	0	9.4349e-02
1:229567906	ENST00000366684	0	8.5663e-02
1:229567907	ENST00000366684	0	3.1707e-02
1:229567908	ENST00000366684	0	1.3864e-01
1:229567909	ENST00000366684	0	2.3135e-01
1:229567910	ENST00000366684	0	7.8654e-02
1:229567911	ENST00000366684	0	1.0592e-01
1:229567912	ENST00000366684	1	1.2299e+00
1:229567914	ENST00000366684	0	1.2290e+00
1:229567915	ENST00000366684	0	1.2290e+00
1:229567917	ENST00000366684	0	1.2349e-01
1:229567918	ENST00000366684	0	1.7640e+00
1:229567919	ENST00000366684	0	8.1755e-02
1:229567920	ENST00000366684	0	1.3864e-01
1:229567921	ENST00000366684	0	1.3864e-01
1:229567922	ENST00000366684	0	9.2509e-02
1:229567923	ENST00000366684	0	8.1613e-02
1:229567924	ENST00000366684	0	1.1536e+00
1:229567926	ENST00000366684	1	1.2290e+00
1:229567927	ENST00000366684	1	1.2290e+00
1:229567928	ENST00000366684	0	6.3748e-02
1:229567929	ENST00000366684	0	8.1613e-02
1:229567930	ENST00000366684	0	1.1757e-01
1:229567932	ENST00000366684	0	1.7908e-01
1:229568017	ENST00000366684	0	1.8562e-01
1:229568019	ENST00000366684	0	2.1666e-01
1:229568020	ENST00000366684	0	1.2349e-01
1:229568022	ENST00000366684	0	2.6859e-01
1:229568023	ENST00000366684	0	1.0592e-01
1:229568025	ENST00000366684	1	1.2349e-01
1:229568026	ENST00000366684	0	1.7640e+00
1:229568027	ENST00000366684	0	1.5802e-01
1:229568028	ENST00000366684	0	7.6554e-02
1:229568029	ENST00000366684	0	9.4349e-02
1:229568031	ENST00000366684	0	1.8968e-01
1:229568032	ENST00000366684	0	8.1613e-02
1:229568034	ENST00000366684	0	1.2370e-01
1:229568035	ENST00000366684	0	1.0868e-01
1:229568037	ENST00000366684	0	2.1723e-01
1:229568038	ENST00000366684	0	1.5764e-01
1:229568040	ENST00000366684	0	1.7640e+00
1:229568041	ENST00000366684	0	1.2290e+00
1:229568042	ENST00000366684	0	6.3748e-02
1:229568043	ENST00000366684	0	8.1613e-02
1:229568044	ENST00000366684	0	1.1757e-01
1:229568046	ENST00000366684	0	1.9378e-01
1:229568047	ENST00000366684	0	1.2349e-01
1:229568049	ENST00000366684	0	8.1613e-02
1:229568050	ENST00000366684	0	1.8562e-01
1:229568051	ENST00000366684	0	3.7669e-02
1:229568052	ENST00000366684	0	1.3864e-01
1:229568053	ENST00000366684	1	1.3864e-01
1:229568054	ENST00000366684	0	9.2509e-02
1:229568055	ENST00000366684	0	9.4349e-02
1:229568056	ENST00000366684	0	6.2611e-02
1:229568057	ENST00000366684	0	1.5178e-01
1:229568058	ENST00000366684	0	2.3135e-01
1:229568059	ENST00000366684	0	1.3864e-01
1:229568061	ENST00000366684	0	1.1874e-01
1:229568062	ENST00000366684	0	6.5053e-02
1:229568064	ENST00000366684	0	1.2370e-01
1:229568065	ENST00000366684	0	1.0868e-01
1:229568066	ENST00000366684	0	7.5968e-02
1:229568067	ENST00000366684	0	1.0592e-01
1:229568068	ENST00000366684	0	1.2299e+00
1:229568070	ENST00000366684	0	2.6859e-01
1:229568071	ENST00000366684	0	1.2349e-01
1:229568073	ENST00000366684	0	8.1613e-02
1:229568074	ENST00000366684	0	1.7483e-01
1:229568075	ENST00000366684	0	5.9503e-02
1:229568076	ENST00000366684	0	1.3864e-01
1:229568077	ENST00000366684	0	1.2299e+00
1:229568079	ENST00000366684	0	1.2290e+00
1:229568080	ENST00000366684	0	1.3762e+00
1:229568082	ENST00000366684	0	2.1723e-01
1:229568083	ENST00000366684	0	2.1922e-01
1:229568085	ENST00000366684	0	1.2290e+00
1:229568086	ENST00000366684	0	2.1723e-01
1:229568088	ENST00000366684	0	1.1874e-01
1:229568089	ENST00000366684	1	6.5053e-02
1:229568090	ENST00000366684	0	1.2093e-01
1:229568091	ENST00000366684	0	1.0592e-01
1:229568092	ENST00000366684	0	1.8968e-01
1:229568094	ENST00000366684	0	1.1874e-01
1:229568095	ENST00000366684	0	6.5053e-02
1:229568097	ENST00000366684	0	1.2290e+00
1:229568098	ENST00000366684	0	1.2290e+00
1:229568099	ENST00000366684	0	1.7608e-01
1:229568100	ENST00000366684	0	2.3135e-01
1:229568101	ENST00000366684	0	2.3135e-01
1:229568102	ENST00000366684	0	3.1707e-02
1:229568103	ENST00000366684	0	1.3864e-01
1:229568104	ENST00000366684	0	2.3135e-01
1:229568106	ENST00000366684	0	2.1723e-01
1:229568107	ENST00000366684	0	1.2290e+00
1:229568108	ENST00000366684	0	1.7221e-01
1:229568109	ENST00000366684	0	1.2349e-01
1:229568110	ENST00000366684	0	1.7608e-01
1:229568112	ENST00000366684	0	1.3762e+00
1:229568113	ENST00000366684	0	2.1723e-01
1:229568115	ENST00000366684	0	1.1874e-01
1:229568116	ENST00000366684	0	6.3748e-02
1:229568118	ENST00000366684	0	1.2290e+00
1:229568119	ENST00000366684	0	1.2290e+00
1:229568121	ENST00000366684	0	1.2370e-01
1:229568122	ENST00000366684	1	1.0868e-01
1:229568124	ENST00000366684	0	2.1723e-01
1:229568125	ENST00000366684	0	2.1922e-01
1:229568126	ENST00000366684	0	6.5053e-02
1:229568127	ENST00000366684	0	8.1613e-02
1:229568128	ENST00000366684	0	1.1757e-01
1:229568130	ENST00000366684	0	2.1106e-01
1:229568131	ENST00000366684	0	1.0814e-01
1:229568132	ENST00000366684	0	2.7101e-02
1:229568133	ENST00000366684	0	1.5604e-01
1:229568134	ENST00000366684	0	2.3135e-01
1:229568136	ENST00000366684	1	2.1922e-01
1:229568137	ENST00000366684	0	2.1723e-01
1:229568139	ENST00000366684	0	1.2349e-01
1:229568140	ENST00000366684	0	1.7640e+00
1:229568141	ENST00000366684	0	1.7221e-01
1:229568142	ENST00000366684	0	1.1835e-01
1:229568143	ENST00000366684	0	9.9265e-02
1:229568144	ENST00000366684	0	7.8654e-02
1:229568145	ENST00000366684	0	1.2349e-01
1:229568146	ENST00000366684	0	1.5764e-01
1:229568148	ENST00000366684	0	2.6859e-01
1:229568149	ENST00000366684	0	1.2349e-01
1:229568151	ENST00000366684	0	1.0592e-01
1:229568152	ENST00000366684	0	1.7640e+00
1:229568154	ENST00000366684	0	2.1723e-01
1:229568155	ENST00000366684	0	1.3762e+00
1:229568156	ENST00000366684	0	1.7221e-01
1:229568157	ENST00000366684	0	1.0592e-01
1:229568158	ENST00000366684	0	1.2299e+00
1:229568160	ENST00000366684	0	2.1723e-01
1:229568161	ENST00000366684	0	1.3762e+00
1:229568163	ENST00000366684	0	1.8968e-01
1:229568164	ENST00000366684	0	8.1613e-02
1:229568165	ENST00000366684	0	7.5968e-02
1:229568166	ENST00000366684	0	1.0592e-01
1:229568167	ENST00000366684	0	1.8968e-01
1:229568169	ENST00000366684	0	1.1874e-01
1:229568170	ENST00000366684	0	6.3748e-02
1:229568172	ENST00000366684	0	1.2349e-01
1:229568173	ENST00000366684	1	1.7640e+00
1:229568174	ENST00000366684	1	8.1755e-02
1:229568175	ENST00000366684	0	1.3864e-01
1:229568176	ENST00000366684	0	2.3135e-01
1:229568178	ENST00000366684	0	2.1723e-01
1:229568303	ENST00000366684	0	1.3762e+00
1:229568305	ENST00000366684	0	2.6859e-01
1:229568306	ENST00000366684	0	1.2349e-01
1:229568308	ENST00000366684	0	2.6859e-01
1:229568309	ENST00000366684	0	1.0592e-01
1:229568310	ENST00000366684	0	7.6160e-02
1:229568311	ENST00000366684	0	1.8562e-01
1:229568312	ENST00000366684	0	9.4736e-02
1:229568314	ENST00000366684	0	2.1723e-01
1:229568315	ENST00000366684	0	1.3762e+00
1:229568317	ENST00000366684	0	1.8968e-01
1:229568318	ENST00000366684	0	8.1613e-02
1:229568320	ENST00000366684	0	2.1723e-01
1:229568321	ENST00000366684	0	1.2290e+00
1:229568323	ENST00000366684	0	1.2370e-01
1:229568324	ENST00000366684	0	1.0868e-01
1:229568326	ENST00000366684	0	8.1613e-02
1:229568327	ENST00000366684	0	1.8562e-01
1:229568329	ENST00000366684	1	1.8968e-01
1:229568330	ENST00000366684	0	1.0592e-01
1:229568332	ENST00000366684	0	1.1874e-01
1:229568333	ENST00000366684	0	6.3748e-02
1:229568335	ENST00000366684	0	1.2349e-01
1:229568336	ENST00000366684	0	1.7640e+00
